epoch train          test
0 3281.9485386439733 3263.985068359375
1 3272.4733787069517 3250.5164453125
2 3253.3294652822065 3227.515439453125
3 3226.9297198860013 3194.397060546875
4 3188.1046715561224 3151.364306640625
5 3139.3509546396685 3098.087919921875
6 3081.2938780492664 3035.590302734375
7 3014.4528733856823 2964.9456640625
8 2939.7948222257655 2887.881611328125
9 2860.044413663903 2804.294951171875
10 2773.7603012396366 2715.527412109375
11 2682.76456124442 2622.75150390625
12 2587.056082589286 2525.80654296875
13 2488.463956871811 2426.07201171875
14 2387.260156748246 2323.868779296875
15 2284.1992486447703 2220.3298046875
16 2179.526775749362 2116.08953125
17 2075.081310038664 2012.004345703125
18 1971.049307686942 1907.5313916015625
19 1865.6851034359056 1803.883623046875
20 1763.611152493224 1701.754697265625
21 1661.5580606265944 1601.2432958984375
22 1562.1360523457429 1503.4108837890626
23 1464.2691774952168 1407.411689453125
24 1370.1584485112405 1314.6725830078126
25 1277.925008968431 1224.9692041015626
26 1190.1128863899075 1138.201806640625
27 1104.613071986607 1055.3265600585937
28 1023.2956462003747 976.1030029296875
29 945.6715822803731 900.158427734375
30 871.4011734943001 828.5964233398438
31 801.1549433494101 760.5818725585938
32 734.6730440100845 696.5007348632812
33 672.589417126714 636.1628100585938
34 613.8985527194276 579.7041625976562
35 558.6127954599808 526.969912109375
36 507.3362582459742 477.668330078125
37 459.1664079938616 431.94580810546876
38 414.87182056660555 389.64275634765625
39 373.57120342643896 350.362041015625
40 336.1885111283283 314.2873840332031
41 301.0985748913823 281.2356909179687
42 268.9383650799187 250.8759716796875
43 239.4268302138971 223.04003784179687
44 212.82008174974092 197.9229022216797
45 188.4649535198601 175.14684692382812
46 166.5133227912747 154.61806701660157
47 146.41570717947823 135.92290802001952
48 128.65606580461775 119.23909301757813
49 112.51659813705756 104.27733367919922
50 98.39326142291634 91.18996032714844
51 85.6218816017618 79.55714019775391
52 74.30014621968172 69.03632278442383
53 64.36327934265137 60.10994323730469
54 55.570443484247946 51.923483276367186
55 47.985522017187 44.94048263549805
56 41.24903523192114 38.99850662231445
57 35.48154445570342 33.74409141540527
58 30.515085181411433 29.375853500366212
59 26.228249919657806 25.486199035644532
60 22.53503974603147 22.21490219116211
61 19.3447069829824 19.391960830688475
62 16.63107328998799 17.127875289916993
63 14.426105674432248 15.139671859741211
64 12.46051987823175 13.430901260375977
65 10.774794442313057 11.932906799316406
66 9.435765757852671 10.817042121887207
67 8.247777822066327 9.85937026977539
68 7.23539805898861 8.832883872985839
69 6.374730985991809 8.088923263549805
70 5.68998493953627 7.6538909149169925
71 5.104971287201862 7.024183921813965
72 4.600726974253752 6.577261753082276
73 4.095736394123155 6.324040012359619
74 3.805940825112012 5.974459018707275
75 3.5446019878192825 5.720987129211426
76 3.3370310603355873 5.614433612823486
77 3.3457023854158363 5.531787786483765
78 2.8894756302541618 5.1955628490448
79 2.752818618501936 5.140513372421265
80 2.7384760477104964 5.013715238571167
81 2.5403259749315223 5.06451265335083
82 2.3978223460061208 4.87441780090332
83 2.334359586238861 4.951729221343994
84 2.265118310646135 4.833061637878418
85 2.1956171004139646 4.783397026062012
86 2.1333166677124646 4.844307641983033
87 2.1695633360317776 4.808189315795898
88 2.1575471138467592 4.815692939758301
89 2.116388888991609 4.715488729476928
90 2.0797855744556504 4.664953079223633
91 2.0204060758863176 4.67188157081604
92 2.0096454121628584 4.639947366714478
93 1.9902754219210879 4.815205535888672
94 1.990799745734857 4.683409414291382
95 1.9335725258807748 4.720286645889282
96 1.9248461382729667 4.629410276412964
97 1.9392980933189392 4.638296852111816
98 1.916791172660127 4.607931909561157
99 1.879923285270224 4.746570110321045
100 1.860041553876838 4.543602342605591
101 1.7997979740707242 4.612776765823364
102 1.8550804914260397 4.735358009338379
103 1.9177451267534373 4.630631790161133
104 1.8458031026684507 4.623977994918823
105 1.8228053438420198 4.5973222541809085
106 1.8078036502915986 4.589848175048828
107 1.7263225669763527 4.59100980758667
108 1.7216799648440615 4.551868715286255
109 1.724602853765293 4.625398111343384
110 1.7143041223895794 4.634226779937745
111 1.745456976549966 4.624087524414063
112 1.727982339810352 4.528553380966186
113 1.6536014761243547 4.603618364334107
114 1.6964806561567345 4.557831430435181
115 1.660401009783453 4.649949512481689
116 1.6882027971501252 4.462502422332764
117 1.6659978019947908 4.708711681365966
118 1.6749645970305618 4.584961490631104
119 1.6768205591610499 4.5577120685577395
120 1.6299873067408193 4.707643480300903
121 1.6198025078189617 4.645014553070069
122 1.601302328158398 4.449351987838745
123 1.646857039052613 4.507222299575806
124 1.6002871564456396 4.720683393478393
125 1.6308177539280482 4.53096908569336
126 1.6230802183248558 4.49924934387207
127 1.5836859637377214 4.501504554748535
128 1.4893917392711251 4.527192697525025
129 1.5908588645409565 4.462989158630371
130 1.4959144008402923 4.426663732528686
131 1.526902365441225 4.628568878173828
132 1.5998781627538252 4.579455642700196
133 1.5322482744041754 4.461446676254273
134 1.4547044853774869 4.504021940231323
135 1.47620398171094 4.55030198097229
136 1.512380981931881 4.579722051620483
137 1.4687166007197634 4.503040103912354
138 1.462425335329406 4.4884320259094235
139 1.4802022466854172 4.448340950012207
140 1.4504508132837257 4.488711042404175
141 1.452194521621782 4.52989200592041
142 1.4490378255746803 4.508811330795288
143 1.3820002930504935 4.531515588760376
144 1.4213937235121825 4.427693519592285
145 1.3925339798538052 4.553276672363281
146 1.4124258951264985 4.377042932510376
147 1.384845493399367 4.433946180343628
148 1.3568621107510157 4.486062097549438
149 1.3605875372886658 4.506885967254639
150 1.3637807983524945 4.665883407592774
151 1.4107740028780333 4.446381826400756
152 1.5722168148780356 4.695312442779541
153 1.6217602880633608 4.559078283309937
154 1.4626905103119052 4.492026891708374
155 1.3642075536202412 4.3964746475219725
156 1.350480478028862 4.4322388648986815
157 1.2911520338788325 4.5120725917816165
158 1.3346331831143827 4.402872076034546
159 1.32539894690319 4.429172220230103
160 1.3050855629298153 4.3867027473449705
161 1.3912907869231945 4.371358480453491
162 1.2990309225053203 4.4765474987030025
163 1.2948823923967323 4.369585905075073
164 1.2858304983499098 4.50615478515625
165 1.2420632510769123 4.458446989059448
166 1.2520269350129731 4.514352025985718
167 1.314211720106553 4.403194589614868
168 1.3316039959995114 4.417510280609131
169 1.2558322852971602 4.421456079483033
170 1.2557691207953863 4.378283767700196
171 1.202460986619093 4.388755044937134
172 1.255999203847379 4.498501958847046
173 1.244671217641052 4.389969816207886
174 1.1806927067892892 4.4106370544433595
175 1.2430620613146801 4.519920434951782
176 1.2418452914880247 4.532029857635498
177 1.2201117891438154 4.445459861755371
178 1.2082584214453795 4.445097799301148
179 1.2344333322680727 4.441806640625
180 1.2107706976180175 4.488924865722656
181 1.204962708512131 4.32461784362793
182 1.2265748557995777 4.484025774002075
183 1.1881136158291175 4.470305118560791
184 1.2148941402532616 4.44291090965271
185 1.1645617034970497 4.356428165435791
186 1.1856064449767678 4.438745651245117
187 1.2197259585468136 4.422273874282837
188 1.2218553575934197 4.425993242263794
189 1.1636477824376554 4.358887491226196
190 1.213960209671332 4.454166946411132
191 1.1830273623369179 4.362616472244262
192 1.1552591129225127 4.478183612823487
193 1.181810228800287 4.604420194625854
194 1.2014464547439498 4.39251449584961
195 1.163495763832209 4.321432895660401
196 1.1423775340829576 4.408502216339111
197 1.146160936477233 4.412784070968628
198 1.173023520075545 4.4309642887115475
199 1.1332991579357459 4.473152351379395
200 1.1212337734747906 4.394575757980347
201 1.1651649152746006 4.497184591293335
202 1.1772237724187422 4.456332464218139
203 1.1049249354673891 4.525898122787476
204 1.1429924861508973 4.564774351119995
205 1.1147847455375048 4.343914918899536
206 1.0901060250340675 4.419487953186035
207 1.1153915907655443 4.446918811798096
208 1.106734577490359 4.362199535369873
209 1.1182001549370435 4.362552366256714
210 1.2585461638411697 4.497367668151855
211 1.2612902801864 4.524318256378174
212 1.1604442146359657 4.410468130111695
213 1.136658483013815 4.3914992618560795
214 1.1233898103237152 4.413388004302979
215 1.0640742602396984 4.454829635620118
216 1.062817959761133 4.405773410797119
217 1.0485679148411264 4.46988359451294
218 1.0637683771094497 4.5610941219329835
219 1.077569483494272 4.3439453506469725
220 1.079129074909249 4.366330213546753
221 1.052428429832264 4.289155621528625
222 1.052246054216307 4.423100833892822
223 1.0584618169434217 4.374566431045532
224 1.071090883746439 4.4325048542022705
225 1.031244572936272 4.387284908294678
226 1.0742574291569846 4.407562217712402
227 1.0379711523347972 4.3951373958587645
228 1.1001377926797282 4.345592947006225
229 1.0615598328259526 4.458801698684693
230 1.1205673971954657 4.3131042575836185
231 1.0600979516700821 4.4697425651550295
232 1.1311782385621751 4.446816864013672
233 1.0919483006000519 4.4557735633850095
234 1.0415031411209885 4.355972557067871
235 1.0417576778908164 4.416861228942871
236 1.054422408950572 4.4314117431640625
237 1.013853338908176 4.303867015838623
238 1.0128275046543198 4.394054746627807
239 1.0245185251138649 4.382768955230713
240 1.0260612538882665 4.334187602996826
241 1.0117568872412857 4.373960790634155
242 1.0855242342365032 4.491683721542358
243 1.091668778536271 4.474314527511597
244 1.0292787454566177 4.326799030303955
245 1.0042585554171581 4.33976266860962
246 1.009676994717851 4.335543832778931
247 0.9916953462727216 4.3722145557403564
248 1.0434747545086607 4.367645721435547
249 1.0037282024111067 4.388753881454468
250 0.99236960252937 4.412379465103149
251 1.0055613061603235 4.508811807632446
252 0.9815736406919907 4.388147764205932
253 0.9605114946559984 4.4335595703125
254 0.9772159785640483 4.38402626991272
255 0.9836298129996475 4.341440343856812
256 0.985290740825692 4.379804105758667
257 1.1438207711492265 4.421711368560791
258 1.2061487150435546 4.321815414428711
259 0.9871820959509635 4.45902645111084
260 0.9439615412634246 4.431641788482666
261 0.981971699972542 4.354837341308594
262 0.974616028824631 4.430295114517212
263 0.9524810618283798 4.383183574676513
264 1.0086526858563325 4.35003620147705
265 0.9732185650844963 4.397801685333252
266 0.9136106840201786 4.325088300704956
267 0.9530284149306161 4.415503931045532
268 0.9794558183271058 4.338418846130371
269 0.9365640021100337 4.36280445098877
270 0.9361653218463976 4.380929441452026
271 0.9395331582244562 4.451598567962646
272 0.9308443671586563 4.3323660087585445
273 0.9178790492670876 4.467273731231689
274 0.9833103546074459 4.322032527923584
275 0.915480839962862 4.381515874862671
276 0.9085929302536712 4.411893529891968
277 0.9029398128694418 4.391593379974365
278 0.924189450789471 4.379791717529297
279 0.9407479045342426 4.46771689414978
280 0.9502473291085691 4.3846142578125
281 0.9714517873160693 4.413177690505981
282 0.9544371123216591 4.4000819873809816
283 0.9211598142069213 4.277574996948243
284 0.9848038669751615 4.402612714767456
285 0.9611418484425058 4.430381546020508
286 0.9322226254307494 4.293554000854492
287 1.0102992538286715 4.296902179718018
288 0.9983418906221584 4.3379185676574705
289 0.9656441771254247 4.420230360031128
290 0.9674638114413436 4.274269466400146
291 0.9350485807778884 4.360443181991577
292 0.9174968977363742 4.299804706573486
293 0.8971001852531822 4.300873517990112
294 0.951041970325976 4.340271015167236
295 0.862636609953277 4.362109994888305
296 1.0009153132535973 4.398375387191773
297 1.0374669973947563 4.310103979110718
298 0.8994988136145533 4.378558320999145
299 0.9086841284012308 4.432079954147339
300 0.9195552912293649 4.292035474777221
301 0.8888128320781552 4.448267688751221
302 0.8691371569828111 4.3634138011932375
303 0.8320239569459643 4.324445457458496
304 0.8682100499162868 4.345730447769165
305 0.891094625604396 4.304422626495361
306 0.8932204161371503 4.386679525375366
307 0.8623059835969186 4.4740390205383305
308 0.9028604298221822 4.385865745544433
309 0.893773188396376 4.367909555435181
310 0.8707718660636824 4.345914459228515
311 0.8672885730558512 4.337236042022705
312 0.8596514639805775 4.354232244491577
313 0.9169061390721068 4.397711524963379
314 0.8722824630688648 4.359586534500122
315 0.8719198052980461 4.288549642562867
316 0.8843737542629242 4.347780532836914
317 0.9011685860400297 4.3252657032012936
318 0.8808208783062137 4.345677642822266
319 0.8706915360324237 4.330489463806153
320 0.8374923051011806 4.402912635803222
321 0.8754425906405157 4.343767614364624
322 0.892761226819486 4.323284082412719
323 0.8370822303149165 4.319853162765503
324 0.8491164309029676 4.4142169094085695
325 0.8456370350049467 4.371461811065674
326 0.8876670562491125 4.3511468696594235
327 0.8871853309018272 4.317509450912476
328 0.8947805385200345 4.353865728378296
329 0.8570283176947613 4.33320613861084
330 0.8446703948536698 4.505600900650024
331 0.8517957962289149 4.378350629806518
332 0.8655938937955973 4.392257080078125
333 0.8629204740329665 4.43088620185852
334 0.9037932358225997 4.356129245758057
335 0.8317567779093372 4.3598103523254395
336 0.8637220780460202 4.3330568504333495
337 0.8575396124197512 4.335801200866699
338 0.8413907143534446 4.30162371635437
339 0.8182971051761082 4.389969511032104
340 0.8530419377648101 4.421544799804687
341 0.7913816461757738 4.273056507110596
342 0.8348735619564446 4.39440673828125
343 0.8752559770126732 4.39138801574707
344 0.8140730979491253 4.3942154502868656
345 0.8385650083726767 4.3254681491851805
346 0.8103604000441882 4.380594596862793
347 0.9059048964052784 4.4033044242858885
348 0.8709288257725385 4.32298828125
349 0.852976320957651 4.365325841903687
350 0.8510099211517645 4.344066305160522
351 0.8593504544423551 4.350666637420654
352 0.870271349743921 4.334340543746948
353 0.8410137240984001 4.339603080749511
354 0.8851515900115577 4.418857402801514
355 0.8097888097471121 4.356485271453858
356 0.8605202637156661 4.342118263244629
